DateTime	Tweet Id	Text	Username
2022-05-26 17:20:32+00:00	1529875142331052032	"Thank you to Doc Rivers for joining us today to discuss Joel Embiid's cryptic tweet about the Miami Heat last night 😂@darthamin

📺 https://t.co/pWqPSVloe1 https://t.co/PoSImsE8ZQ"	LeBatardShow
2022-05-26 17:16:04+00:00	1529874018152636416	"""Duncan Robinson is a COWARD."" – an unhinged and rabid @MichaelRyanRuiz lost his mind today while ripping the Miami Heat. 

📺 https://t.co/pWqPSVloe1 https://t.co/YDuW9Idncn"	LeBatardShow
2022-05-26 17:07:38+00:00	1529871894832459777	"""I don't want to see the team go out like this, scared to shoot. We're absolutely shook."" – @MichaelRyanRuiz on how he feels with the Heat now down 3-2 to the Celtics in the Eastern Conference Finals. 

📺 https://t.co/pWqPSVloe1 https://t.co/mohogJNg65"	LeBatardShow
2022-05-26 16:14:19+00:00	1529858477249667072	"“You don’t let an 18 year old walk in and buy two assault weapons…that is just pure foolishness.” - John Skipper
🎙 https://t.co/3XgpOKLSql
📺 https://t.co/2MdaM3y5jA https://t.co/Ojt9J8j5st"	LeBatardShow
2022-05-26 16:06:10+00:00	1529856427501703174	"“We need to do something now…it’s time to hold the people accountable...” - John Skipper speaks out on gun violence.
🎙 https://t.co/3XgpOKLSql
📺 https://t.co/SpZdHNErYT https://t.co/1z47s9ZEAS"	LeBatardShow
2022-05-26 15:57:19+00:00	1529854201718767621	"“I think that we CAN do something.” 
- @DavidPSamson speaks out on the recent tragedies around the U.S. and the undeniable value of voting.
🎙 https://t.co/3XgpOKLSql
📺 https://t.co/2MdaM3y5jA https://t.co/rJtWt2kvH3"	LeBatardShow
2022-05-26 14:58:18+00:00	1529839350309076994	@daakardior @MichelleDBeadle @talkhoops @DarthAmin @DraftKings @CornPuzzle Those deer were paid actors in costumes.	LeBatardShow
2022-05-26 14:55:50+00:00	1529838729824722947	"#CINEPHOBE with @MichelleDBeadle 🔥
@DarthAmin @talkhoops @CornPuzzle 
🚛 https://t.co/MtkNcUJ7OQ 🚚 https://t.co/b1Uiok0FTc https://t.co/uu9lzOqzNK"	LeBatardShow
2022-05-26 14:31:59+00:00	1529832724135038976	"#CINEPHOBE Zach, Amin, &amp; Mayes are just a couple of road twitches stuck at @MichelleDBeadle’s truck stop hoping to survive the rise of the machines caused by a radioactive comet coating the world in a fine layer of lime green chaos.☄️⛽️💥
🚛 https://t.co/MtkNcUJ7OQ https://t.co/34xfsE8kKK"	LeBatardShow
2022-05-26 14:16:21+00:00	1529828793761808384	“The only team that can beat Golden State is a team of Al Horfords.” - Jon Weiner https://t.co/KZkfdJorIg	LeBatardShow
2022-05-26 14:04:05+00:00	1529825703612383234	"“It’s not rocket science…if you give these women a platform, people are going to show up.” - @elleduncanESPN on the importance and natural attraction of compelling storylines within men and women’s sports. @MontgomeryCoPod 
👑 https://t.co/VJugveJYuc
👑 https://t.co/3S4vQsE2UN https://t.co/OwmbL6vl8v"	LeBatardShow
2022-05-26 13:53:22+00:00	1529823008084201476	@onetalldude891 @MontgomeryCoPod @elleduncanESPN @ReneeMontgomery @sirenagrace_ Salute to you ❤️💯	LeBatardShow
